iddesa,Kode Provinsi,Kode Kabupaten,Kode Kecamatan,Kode Desa,Provinsi,Kabupaten,Kecamatan,Desa,Pelayanan_Dasar,Infrastruktur,Aksesbilitas,IKG2020
1302070010,13,2,70,10,Sumatera Barat,Pesisir Selatan,Sutera,Gantiang Mudiak Utara Surantih,39.47,66.81,22.99,40.56
1302070011,13,2,70,11,Sumatera Barat,Pesisir Selatan,Sutera,Lansano Taratak,37.70,55.45,4.23,31.44
1302070012,13,2,70,12,Sumatera Barat,Pesisir Selatan,Sutera,Koto Taratak,26.05,46.72,0.00,22.71
1302080001,13,2,80,1,Sumatera Barat,Pesisir Selatan,Batang Kapas,Iv Koto Hilie,20.90,32.10,0.00,17.02
1302080002,13,2,80,2,Sumatera Barat,Pesisir Selatan,Batang Kapas,Iv Koto Mudiek,24.59,55.69,21.24,30.53
1302080003,13,2,80,3,Sumatera Barat,Pesisir Selatan,Batang Kapas,Taluk,30.05,50.54,0.00,25.45
1302080004,13,2,80,4,Sumatera Barat,Pesisir Selatan,Batang Kapas,Koto Nan Tigo Iv Koto Hilie,42.09,57.47,0.00,32.66
1302080005,13,2,80,5,Sumatera Barat,Pesisir Selatan,Batang Kapas,Koto Nan Duo Iv Koto Hilie,18.08,53.00,21.24,26.87
1302080006,13,2,80,6,Sumatera Barat,Pesisir Selatan,Batang Kapas,Sungai Nyalo Iv Koto Mudiek,37.04,53.00,21.24,35.78
1302080007,13,2,80,7,Sumatera Barat,Pesisir Selatan,Batang Kapas,Tuik Iv Koto Mudiek,23.03,50.97,21.24,28.75
1302080008,13,2,80,8,Sumatera Barat,Pesisir Selatan,Batang Kapas,Taratak Tempatih Iv Koto Mudiek,27.96,55.02,21.24,31.97
1302080009,13,2,80,9,Sumatera Barat,Pesisir Selatan,Batang Kapas,Taluk Tigo Sakato,44.50,52.79,21.24,39.24
1302090001,13,2,90,1,Sumatera Barat,Pesisir Selatan,Iv Jurai,Salido,20.23,36.52,0.00,17.69
1302090002,13,2,90,2,Sumatera Barat,Pesisir Selatan,Iv Jurai,Painan,8.03,14.29,2.98,7.89
1302090003,13,2,90,3,Sumatera Barat,Pesisir Selatan,Iv Jurai,Lumpo,17.60,46.72,0.00,18.74
1302090004,13,2,90,4,Sumatera Barat,Pesisir Selatan,Iv Jurai,Tambang,42.47,55.45,5.73,34.14
1302090005,13,2,90,5,Sumatera Barat,Pesisir Selatan,Iv Jurai,Bungo Pasang Salido,23.45,46.72,22.99,28.53
1302090006,13,2,90,6,Sumatera Barat,Pesisir Selatan,Iv Jurai,Sago Salido,9.82,20.74,4.23,10.56
1302090007,13,2,90,7,Sumatera Barat,Pesisir Selatan,Iv Jurai,Painan Selatan Painan,27.09,13.56,1.49,16.23
1302090008,13,2,90,8,Sumatera Barat,Pesisir Selatan,Iv Jurai,Painan Timur Painan,25.55,28.69,3.77,19.59
1302090009,13,2,90,9,Sumatera Barat,Pesisir Selatan,Iv Jurai,Bukik Kaciak Lumpo,19.56,50.77,1.49,21.03
1302090010,13,2,90,10,Sumatera Barat,Pesisir Selatan,Iv Jurai,Sungai Sariak Lumpo,28.99,61.76,4.23,28.76
1302090011,13,2,90,11,Sumatera Barat,Pesisir Selatan,Iv Jurai,Sungai Gayo Lumpo,23.82,50.77,4.23,23.87
1302090012,13,2,90,12,Sumatera Barat,Pesisir Selatan,Iv Jurai,Gunung Bungkuak Lumpo,37.38,53.43,5.73,31.29
1302090013,13,2,90,13,Sumatera Barat,Pesisir Selatan,Iv Jurai,Ampang Tareh Lumpo,33.63,41.17,17.01,30.23
1302090014,13,2,90,14,Sumatera Barat,Pesisir Selatan,Iv Jurai,Ampuan Lumpo,37.65,43.18,0.00,27.37
1302090015,13,2,90,15,Sumatera Barat,Pesisir Selatan,Iv Jurai,Balai Sinayan Lumpo,37.38,50.77,5.73,30.70
1302090016,13,2,90,16,Sumatera Barat,Pesisir Selatan,Iv Jurai,Taratak Tangah Lumpo,41.25,50.34,5.73,32.42
1302090017,13,2,90,17,Sumatera Barat,Pesisir Selatan,Iv Jurai,Batu Kunik Lumpo,22.66,50.77,4.23,23.32
1302090018,13,2,90,18,Sumatera Barat,Pesisir Selatan,Iv Jurai,Limau Gadang Lumpo,32.47,48.32,5.73,27.84
1302090019,13,2,90,19,Sumatera Barat,Pesisir Selatan,Iv Jurai,Koto Rawang,35.19,70.86,5.73,34.17
1302090020,13,2,90,20,Sumatera Barat,Pesisir Selatan,Iv Jurai,Salido Sari Bulan,29.50,53.00,22.73,32.69
1302100001,13,2,100,1,Sumatera Barat,Pesisir Selatan,Bayang,Pasar Baru,17.88,13.56,0.00,11.44
1302100002,13,2,100,2,Sumatera Barat,Pesisir Selatan,Bayang,Talaok,27.50,53.00,17.01,30.00
1302100003,13,2,100,3,Sumatera Barat,Pesisir Selatan,Bayang,Koto Barapak,17.68,41.44,21.24,24.09
1302100004,13,2,100,4,Sumatera Barat,Pesisir Selatan,Bayang,Gurun Panjang,21.10,68.84,17.01,30.55
1302100005,13,2,100,5,Sumatera Barat,Pesisir Selatan,Bayang,Api-api Pasar Baru,36.52,49.01,0.00,28.15
1302100006,13,2,100,6,Sumatera Barat,Pesisir Selatan,Bayang,Tanjung Durian Pasar Baru,37.99,60.37,17.01,36.59
1302100007,13,2,100,7,Sumatera Barat,Pesisir Selatan,Bayang,Asam Kamba Pasar Baru,37.52,64.16,17.01,37.21
1302100008,13,2,100,8,Sumatera Barat,Pesisir Selatan,Bayang,Sawah Laweh Pasar Baru,24.03,50.97,17.01,27.92
1302100009,13,2,100,9,Sumatera Barat,Pesisir Selatan,Bayang,Kapeh Panji Jaya Talaok,22.79,55.45,21.24,29.64
1302100010,13,2,100,10,Sumatera Barat,Pesisir Selatan,Bayang,Aur Begalung Talaok,21.32,53.43,27.00,30.25
1302100011,13,2,100,11,Sumatera Barat,Pesisir Selatan,Bayang,Kapelgam Koto Barapak,31.90,52.79,21.24,33.32
1302100012,13,2,100,12,Sumatera Barat,Pesisir Selatan,Bayang,Kapujan Koto Barapak,27.74,53.00,21.24,31.41
1302100013,13,2,100,13,Sumatera Barat,Pesisir Selatan,Bayang,Koto Baru Koto Barapak,47.02,48.95,21.24,39.56
1302100014,13,2,100,14,Sumatera Barat,Pesisir Selatan,Bayang,Kubang Koto Barapak,40.02,48.32,21.24,36.13
1302100015,13,2,100,15,Sumatera Barat,Pesisir Selatan,Bayang,Gurun Panjang Selatan,28.10,53.43,17.01,30.38
